group	COc77203	COc77206	COc77229	COc77230	COc77243	COc77256	COc77265	COc77268	COcCcbulk	COcEcbulk	MRFc1	MRFc2	MRFc3	MRFcbulkc16S	NEc109	NEc118	NEc212	NEc215	NEc311	NEc317	NEc414	NEc416	NEcCcbulk	NEcEcbulk	SVERCc1c16S	SVERCc2c16S	SVERCc2	SVERCc3c16S	SVERCc3	SVERCcbulkc16S	WAcC1	WAcC2	WAcC3	WAcCcbulk	WAcE1	WAcE2	WAcE3	WAcEcbulk
chlorate_reducers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
predatory_or_exoparasitic	243	286	298	86	209	187	256	232	1593	2855	186	153	181	1356	206	218	241	217	196	220	206	227	1869	1469	1610	2438	217	2162	403	1928	114	176	143	1623	198	218	121	1419
chloroplasts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cyanobacteria	33	36	42	14	12	27	16	22	106	147	17	13	19	146	23	17	17	16	53	21	28	13	192	160	62	43	8	74	8	113	10	25	23	272	33	22	14	164
anoxygenic_photoautotrophy_H2_oxidizing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy_S_oxidizing	4	20	20	8	10	15	19	10	53	148	23	33	13	358	64	24	14	39	22	31	30	44	237	150	256	433	36	484	45	484	9	29	29	233	29	20	31	228
anoxygenic_photoautotrophy_Fe_oxidizing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy	4	20	20	8	10	15	19	10	53	148	23	33	13	358	64	24	14	39	22	31	30	44	237	150	256	433	36	484	45	484	9	29	29	233	29	20	31	228
oxygenic_photoautotrophy	33	36	42	14	12	27	16	22	106	147	17	13	19	146	23	17	17	16	53	21	28	13	192	160	62	43	8	74	8	113	10	25	23	272	33	22	14	164
photoautotrophy	37	56	62	22	22	42	35	32	159	295	40	46	32	504	87	41	31	55	75	52	58	57	429	310	318	476	44	558	53	597	19	54	52	505	62	42	45	392
aerobic_anoxygenic_phototrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photoheterotrophy	4	26	20	9	10	16	20	10	57	153	23	35	13	370	65	25	15	39	23	33	33	46	246	158	256	433	36	486	45	484	9	31	29	233	31	20	31	229
phototrophy	37	62	62	23	22	43	36	32	163	300	40	48	32	516	88	42	32	55	76	54	61	59	438	318	318	476	44	560	53	597	19	56	52	505	64	42	45	393
plastic_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ureolysis	59	110	77	41	80	181	51	83	314	834	26	68	28	506	90	65	44	61	91	66	98	62	1455	409	412	756	49	690	65	783	32	44	48	457	70	62	53	219
reductive_acetogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chemoheterotrophy	1016	2991	2173	1167	1661	2502	1926	1695	6604	13634	879	1191	1240	10779	2246	1607	1441	1753	2462	2006	2238	2160	13668	9045	9988	14897	1161	17215	2458	17765	1264	1508	2246	13289	2974	2625	2366	11047
other	2975	6417	4908	2286	3741	5155	5135	4016	20839	45946	3235	4282	3938	35642	5610	4304	3862	4186	6792	6145	5970	5211	37514	26392	27090	45455	3784	46915	6399	43656	2887	3610	5097	45167	6593	6083	4403	34342
