US_query	Br_subject	p_ident	length	mismatch	apopen	q_start	q_end	s_start	s_end	Evalue	bitscore
OTU_dn_887	OTU_dn_1160	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_926	OTU_dn_1908	100	253	0	0	1	253	191	443	1.00E-136	468
OTU_dn_930	OTU_dn_617	100	253	0	0	1	253	191	443	1.00E-136	468
OTU_dn_939	OTU_dn_1443	100	253	0	0	1	253	187	439	1.00E-136	468
OTU_dn_998	OTU_dn_5404	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_1011	OTU_dn_4047	100	253	0	0	1	253	172	424	1.00E-136	468
OTU_dn_1013	OTU_dn_607	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_1077	OTU_dn_5800	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_1104	OTU_dn_497	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_1109	OTU_dn_6049	100	253	0	0	1	253	180	432	1.00E-136	468
OTU_dn_1110	OTU_dn_2152	100	253	0	0	1	253	192	444	1.00E-136	468
OTU_dn_1118	OTU_dn_2826	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_1162	OTU_dn_1181	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_1166	OTU_dn_479	100	254	0	0	1	254	169	422	3.00E-137	470
OTU_dn_1170	OTU_dn_1164	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_1175	OTU_dn_2524	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_1175	OTU_dn_5452	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_1177	OTU_dn_1511	100	253	0	0	1	253	191	443	1.00E-136	468
OTU_dn_1240	OTU_dn_281	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_1249	OTU_dn_3185	100	254	0	0	1	254	190	443	3.00E-137	470
OTU_dn_1276	OTU_dn_1446	100	253	0	0	1	253	180	432	1.00E-136	468
OTU_dn_1281	OTU_dn_2521	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_1299	OTU_dn_344	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_1351	OTU_dn_162	100	253	0	0	1	253	175	427	1.00E-136	468
OTU_dn_1386	OTU_dn_5080	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_1464	OTU_dn_431	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_1477	OTU_dn_219	100	253	0	0	1	253	181	433	1.00E-136	468
OTU_dn_1509	OTU_dn_4680	100	253	0	0	1	253	186	438	1.00E-136	468
OTU_dn_1512	OTU_dn_708	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_1523	OTU_dn_865	100	253	0	0	1	253	186	438	1.00E-136	468
OTU_dn_1555	OTU_dn_3480	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_1581	OTU_dn_1877	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_1599	OTU_dn_705	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_1619	OTU_dn_1488	100	253	0	0	1	253	195	447	1.00E-136	468
OTU_dn_1622	OTU_dn_4922	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_1652	OTU_dn_5308	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_1677	OTU_dn_4802	100	253	0	0	1	253	171	423	1.00E-136	468
OTU_dn_1679	OTU_dn_269	100	254	0	0	1	254	193	446	3.00E-137	470
OTU_dn_1681	OTU_dn_4005	100	254	0	0	1	254	171	424	3.00E-137	470
OTU_dn_1686	OTU_dn_3661	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_1689	OTU_dn_2972	100	253	0	0	1	253	171	423	1.00E-136	468
OTU_dn_1769	OTU_dn_906	100	253	0	0	1	253	184	436	1.00E-136	468
OTU_dn_1779	OTU_dn_3998	100	253	0	0	1	253	174	426	1.00E-136	468
OTU_dn_1827	OTU_dn_1174	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_1844	OTU_dn_1515	100	253	0	0	1	253	172	424	1.00E-136	468
OTU_dn_1863	OTU_dn_4105	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_1879	OTU_dn_3068	100	253	0	0	1	253	172	424	1.00E-136	468
OTU_dn_1884	OTU_dn_4826	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_1890	OTU_dn_2939	100	254	0	0	1	254	170	423	3.00E-137	470
OTU_dn_1896	OTU_dn_133	100	253	0	0	1	253	190	442	1.00E-136	468
OTU_dn_1900	OTU_dn_2957	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_1922	OTU_dn_2895	100	253	0	0	1	253	171	423	1.00E-136	468
OTU_dn_1955	OTU_dn_2764	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_1981	OTU_dn_1601	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_1999	OTU_dn_3581	100	253	0	0	1	253	178	430	1.00E-136	468
OTU_dn_2025	OTU_dn_355	100	253	0	0	1	253	178	430	1.00E-136	468
OTU_dn_2035	OTU_dn_2700	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_2041	OTU_dn_1639	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_2053	OTU_dn_1594	100	253	0	0	1	253	196	448	1.00E-136	468
OTU_dn_2057	OTU_dn_346	100	253	0	0	1	253	172	424	1.00E-136	468
OTU_dn_2064	OTU_dn_6087	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_2161	OTU_dn_23	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_2167	OTU_dn_2430	100	253	0	0	1	253	172	424	1.00E-136	468
OTU_dn_2195	OTU_dn_5937	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_2224	OTU_dn_106	100	254	0	0	1	254	169	422	3.00E-137	470
OTU_dn_2280	OTU_dn_6045	100	253	0	0	1	253	195	447	1.00E-136	468
OTU_dn_2309	OTU_dn_583	100	253	0	0	1	253	187	439	1.00E-136	468
OTU_dn_2500	OTU_dn_699	100	253	0	0	1	253	195	447	1.00E-136	468
OTU_dn_2509	OTU_dn_894	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_2517	OTU_dn_930	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_2553	OTU_dn_4431	100	253	0	0	1	253	185	437	1.00E-136	468
OTU_dn_2569	OTU_dn_6	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_2640	OTU_dn_5048	100	253	0	0	1	253	195	447	1.00E-136	468
OTU_dn_2657	OTU_dn_4554	100	253	0	0	1	253	192	444	1.00E-136	468
OTU_dn_2717	OTU_dn_2562	100	253	0	0	1	253	180	432	1.00E-136	468
OTU_dn_2754	OTU_dn_3658	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_2823	OTU_dn_1365	100	253	0	0	1	253	190	442	1.00E-136	468
OTU_dn_2844	OTU_dn_892	100	253	0	0	1	253	178	430	1.00E-136	468
OTU_dn_2859	OTU_dn_1545	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_2910	OTU_dn_4211	100	254	0	0	1	254	171	424	3.00E-137	470
OTU_dn_3028	OTU_dn_2074	100	254	0	0	1	254	169	422	3.00E-137	470
OTU_dn_3039	OTU_dn_4300	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_3083	OTU_dn_229	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_3137	OTU_dn_3984	100	257	0	0	1	257	170	426	7.00E-139	475
OTU_dn_3204	OTU_dn_2159	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_3220	OTU_dn_3098	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_3319	OTU_dn_342	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_3370	OTU_dn_4520	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_3420	OTU_dn_2402	100	253	0	0	1	253	172	424	1.00E-136	468
OTU_dn_3622	OTU_dn_2952	100	253	0	0	1	253	184	436	1.00E-136	468
OTU_dn_3635	OTU_dn_1153	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_3642	OTU_dn_2745	100	257	0	0	1	257	172	428	7.00E-139	475
OTU_dn_3695	OTU_dn_2271	100	253	0	0	1	253	196	448	1.00E-136	468
OTU_dn_3797	OTU_dn_113	100	253	0	0	1	253	195	447	1.00E-136	468
OTU_dn_3802	OTU_dn_2348	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_3803	OTU_dn_5871	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_3809	OTU_dn_1651	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_3811	OTU_dn_126	100	254	0	0	1	254	169	422	3.00E-137	470
OTU_dn_3827	OTU_dn_480	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_3851	OTU_dn_885	100	253	0	0	1	253	191	443	1.00E-136	468
OTU_dn_3854	OTU_dn_1713	100	253	0	0	1	253	171	423	1.00E-136	468
OTU_dn_3863	OTU_dn_6171	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_3873	OTU_dn_1425	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_3899	OTU_dn_5583	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_3913	OTU_dn_1275	100	253	0	0	1	253	188	440	1.00E-136	468
OTU_dn_3921	OTU_dn_567	100	253	0	0	1	253	172	424	1.00E-136	468
OTU_dn_3987	OTU_dn_3310	100	253	0	0	1	253	195	447	1.00E-136	468
OTU_dn_3998	OTU_dn_810	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_4009	OTU_dn_231	100	254	0	0	1	254	169	422	3.00E-137	470
OTU_dn_4009	OTU_dn_4690	100	254	0	0	1	254	194	447	3.00E-137	470
OTU_dn_4011	OTU_dn_6071	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_4076	OTU_dn_245	100	253	0	0	1	253	187	439	1.00E-136	468
OTU_dn_4092	OTU_dn_1114	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_4107	OTU_dn_2962	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_4163	OTU_dn_1555	100	253	0	0	1	253	172	424	1.00E-136	468
OTU_dn_4319	OTU_dn_3900	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_4461	OTU_dn_224	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_4465	OTU_dn_3651	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_4478	OTU_dn_4565	100	253	0	0	1	253	191	443	1.00E-136	468
OTU_dn_4594	OTU_dn_728	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_4616	OTU_dn_1850	100	253	0	0	1	253	191	443	1.00E-136	468
OTU_dn_4677	OTU_dn_62	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_4731	OTU_dn_2756	100	253	0	0	1	253	186	438	1.00E-136	468
OTU_dn_4837	OTU_dn_1441	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_4867	OTU_dn_443	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_4896	OTU_dn_6200	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_4912	OTU_dn_1857	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_4917	OTU_dn_5968	100	253	0	0	1	253	195	447	1.00E-136	468
OTU_dn_4942	OTU_dn_1284	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_5058	OTU_dn_840	100	253	0	0	1	253	191	443	1.00E-136	468
OTU_dn_5060	OTU_dn_1252	100	253	0	0	1	253	182	434	1.00E-136	468
OTU_dn_5065	OTU_dn_6231	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_5131	OTU_dn_3345	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_5153	OTU_dn_5101	100	253	0	0	1	253	172	424	1.00E-136	468
OTU_dn_5248	OTU_dn_3986	100	253	0	0	1	253	195	447	1.00E-136	468
OTU_dn_5250	OTU_dn_692	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_5251	OTU_dn_2087	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_5372	OTU_dn_5282	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_5399	OTU_dn_2233	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_5479	OTU_dn_4638	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_5503	OTU_dn_1339	100	254	0	0	1	254	169	422	3.00E-137	470
OTU_dn_5534	OTU_dn_802	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_5551	OTU_dn_5120	100	253	0	0	1	253	179	431	1.00E-136	468
OTU_dn_5553	OTU_dn_3262	100	252	0	0	1	252	193	444	4.00E-136	466
OTU_dn_5716	OTU_dn_1336	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_5849	OTU_dn_2467	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_5917	OTU_dn_4896	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_5932	OTU_dn_4793	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_5940	OTU_dn_987	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_6065	OTU_dn_6073	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_6084	OTU_dn_3552	100	253	0	0	1	253	178	430	1.00E-136	468
OTU_dn_6087	OTU_dn_628	100	232	0	0	22	253	212	443	5.00E-125	429
OTU_dn_6300	OTU_dn_378	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_6425	OTU_dn_834	100	253	0	0	1	253	171	423	1.00E-136	468
OTU_dn_6563	OTU_dn_1621	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_6584	OTU_dn_1211	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_6587	OTU_dn_745	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_6617	OTU_dn_437	100	231	0	0	23	253	191	421	2.00E-124	427
OTU_dn_6617	OTU_dn_2088	100	231	0	0	23	253	217	447	2.00E-124	427
OTU_dn_6617	OTU_dn_3273	100	231	0	0	23	253	191	421	2.00E-124	427
OTU_dn_6617	OTU_dn_4192	100	231	0	0	23	253	192	422	2.00E-124	427
OTU_dn_6723	OTU_dn_1720	100	253	0	0	1	253	195	447	1.00E-136	468
OTU_dn_6827	OTU_dn_1616	100	253	0	0	1	253	182	434	1.00E-136	468
OTU_dn_6863	OTU_dn_115	100	253	0	0	1	253	195	447	1.00E-136	468
OTU_dn_6865	OTU_dn_3743	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_6947	OTU_dn_1162	100	254	0	0	1	254	187	440	3.00E-137	470
OTU_dn_7036	OTU_dn_3462	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_7186	OTU_dn_3788	100	253	0	0	1	253	187	439	1.00E-136	468
OTU_dn_7720	OTU_dn_3004	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_7923	OTU_dn_1903	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_7959	OTU_dn_3768	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_8009	OTU_dn_122	100	253	0	0	1	253	168	420	1.00E-136	468
OTU_dn_8061	OTU_dn_884	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_8108	OTU_dn_2824	100	254	0	0	1	254	169	422	3.00E-137	470
OTU_dn_8188	OTU_dn_2838	100	253	0	0	1	253	186	438	1.00E-136	468
OTU_dn_8200	OTU_dn_5062	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_8249	OTU_dn_4422	100	254	0	0	1	254	170	423	3.00E-137	470
OTU_dn_8250	OTU_dn_1845	100	253	0	0	1	253	190	442	1.00E-136	468
OTU_dn_8328	OTU_dn_5016	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_8356	OTU_dn_6247	100	253	0	0	1	253	195	447	1.00E-136	468
OTU_dn_8468	OTU_dn_798	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_9077	OTU_dn_558	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_9373	OTU_dn_4850	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_9961	OTU_dn_5121	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_10047	OTU_dn_786	100	253	0	0	1	253	195	447	1.00E-136	468
OTU_dn_10163	OTU_dn_5705	100	254	0	0	1	254	191	444	3.00E-137	470
OTU_dn_10968	OTU_dn_3637	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_11279	OTU_dn_1039	100	254	0	0	1	254	169	422	3.00E-137	470
OTU_dn_11356	OTU_dn_6089	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_12129	OTU_dn_3814	100	254	0	0	1	254	169	422	3.00E-137	470
OTU_dn_12254	OTU_dn_776	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_12308	OTU_dn_3752	100	254	0	0	1	254	169	422	3.00E-137	470
OTU_dn_12582	OTU_dn_118	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_12840	OTU_dn_1655	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_13284	OTU_dn_4095	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_13593	OTU_dn_209	100	245	0	0	9	253	177	421	3.00E-132	453
OTU_dn_14161	OTU_dn_5289	100	254	0	0	1	254	194	447	3.00E-137	470
OTU_dn_14429	OTU_dn_6181	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_14479	OTU_dn_6026	100	238	0	0	16	253	184	421	2.00E-128	440
OTU_dn_15013	OTU_dn_2499	100	253	0	0	1	253	195	447	1.00E-136	468
OTU_dn_15121	OTU_dn_2217	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_15501	OTU_dn_743	100	253	0	0	1	253	187	439	1.00E-136	468
OTU_dn_15757	OTU_dn_476	100	254	0	0	1	254	169	422	3.00E-137	470
OTU_dn_16030	OTU_dn_2513	100	253	0	0	1	253	191	443	1.00E-136	468
OTU_dn_16323	OTU_dn_3451	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_16434	OTU_dn_4968	100	253	0	0	1	253	186	438	1.00E-136	468
